2015-12-16 11:56:55
size time_base time_axv_dbl time_avx_m256d
40 342 0 342 
80 342 342 0 
160 342 0 342 
320 342 0 0 
640 684 684 342 
1280 684 684 684 
2560 1026 1368 1026 
5120 3079 2736 2395 
10240 16421 5473 4790 
20480 18473 8552 9237 
40960 129657 46526 17105 
81920 44131 32157 36605 
163840 172420 125210 131025 
327680 365708 366051 378366 
655360 694811 833021 738601 
1310720 1635937 1225756 1377649 
2621440 2653352 2780614 3039928 
5242880 5266336 5298836 5475361 
10485760 10267883 10836802 10682170 
20971520 20539531 21303105 21065344 



