2015-12-16 16:37:28
size time_base time_axv_dbl time_avx_m256d
40 1368 342 0 
80 342 0 0 
160 0 343 342 
320 0 0 342 
640 342 684 342 
1280 685 685 685 
2560 1368 2395 2052 
5120 11973 3079 2395 
10240 58842 22921 16079 
20480 23947 11973 10605 
40960 51658 18132 17447 
81920 106394 61921 110157 
163840 190210 111868 161814 
327680 346892 268893 370498 
655360 675653 610654 694127 
1310720 1540148 1491569 1332834 
2621440 2596563 2767957 2565774 
5242880 4914653 5236230 5115469 
10485760 10401304 10350673 10272331 
20971520 20129691 20380111 20991107 



